name	motNo	jntNo	refEnc	drive	driven	harm	enc	dir	jmc	can	active	numMot	zeroed
WST	0	0	0	10	25	100	4000	1	35	0	true	1	false
NKY	0	1	0	1	1	100	128	1	34	1	true	3	false
NK1	1	2	0	1	1	100	128	1	34	1	true	3	false
NK2	2	3	0	1	1	100	128	1	34	1	true	3	false
LSP	0	4	0	11	16	100	4000	1	10	1	true	2	false
LSR	1	5	0	1	1	100	4000	1	10	1	true	2	false
LSY	0	6	0	1	1	100	4000	1	11	1	true	2	false
LEB	1	7	0	20	24	100	4000	1	11	1	true	2	false
LWY	0	8	0	1	1	100	4000	1	33	1	true	2	false
LWP	1	10	0	1	1	100	4000	1	33	1	true	2	false
RSP	0	11	0	11	16	100	4000	1	8	1	true	2	false
RSR	1	12	0	1	1	100	4000	1	8	1	true	2	false
RSY	0	13	0	1	1	100	4000	1	9	1	true	2	false
REB	1	14	0	20	24	100	4000	1	9	1	true	2	false
RWY	0	15	0	1	1	100	4000	1	32	1	true	2	false
RWP	1	17	0	1	1	100	4000	1	32	1	true	2	false
LHY	0	19	0	10	25	100	4000	1	4	0	true	2	false
LHR	1	20	0	324	1024	160	4000	1	4	0	true	2	false
LHP	0	21	0	16	20	160	4000	1	5	0	true	1	false
LKN	0	22	0	16	16	160	4000	1	6	0	true	1	false
LAP	0	23	0	10	25	100	4000	1	7	0	true	2	false
LAR	1	24	0	324	1024	100	4000	1	7	0	true	2	false
RHY	0	26	0	10	25	100	4000	1	0	0	true	2	false
RHR	1	27	0	324	1024	160	4000	1	0	0	true	2	false
RHP	0	28	0	16	20	160	4000	1	1	0	true	1	false
RKN	0	29	0	16	16	160	4000	1	2	0	true	1	false
RAP	0	30	0	10	25	100	4000	1	3	0	true	2	false
RAR	1	31	0	324	1024	100	4000	1	3	0	true	2	false
RF1	0	32	0	1	1	256	4000	1	36	1	true	5	false
RF2	1	33	0	1	1	256	4000	1	36	1	true	5	false
RF3	2	34	0	1	1	256	128	1	36	1	true	5	false
RF4	3	35	0	1	1	256	128	1	36	1	true	5	false
RF5	4	36	0	1	1	256	128	1	36	1	true	5	false
LF1	0	37	0	1	1	256	128	1	37	1	true	5	false
LF2	1	38	0	1	1	256	128	1	37	1	true	5	false
LF3	2	39	0	1	1	256	128	1	37	1	true	5	false
LF4	3	40	0	1	1	256	128	1	37	1	true	5	false
LF5	4	41	0	1	1	256	128	1	37	1	true	5	false
