# File: joint.table
# This file contains the default values for all of Hubo's joints
# which are specified in the hubo.h under the structs 'hubo_param' and 'hubo_joint_state'.
# The values of joint names are defined in hubo.h.
# The values of jmc names are defined in canId.h

#name	motNo	refEnc	drive	driven	harm	enc	dir	jmc	active	can	numMot	zeroed
WST	0	0	10	25	100	4000	1	EJMC3	1	0	1	0
NKY	0	0	1	1	100	128	1	EJMC2	0	1	3	0
NK1	1	0	1	1	100	128	1	EJMC2	0	1	3	0
NK2	2	0	1	1	100	128	1	EJMC2	0	1	3	0
LSP	0	0	11	16	100	4000	1	JMC10	1	1	2	0
LSR	1	0	1	1	100	4000	1	JMC10	1	1	2	0
LSY	0	0	1	1	100	4000	1	JMC11	1	1	2	0
LEB	1	0	20	20	100	4000	1	JMC11	1	1	2	0
LWY	0	0	1	1	100	4000	1	EJMC1	1	1	2	0
LWP	1	0	1	1	100	4000	1	EJMC1	1	1	2	0
#LWR	0	0	0	0	0	0	0	0	0	1	0	0
RSP	0	0	11	16	100	4000	1	JMC8	1	1	2	0
RSR	1	0	1	1	100	4000	1	JMC8	1	1	2	0
RSY	0	0	1	1	100	4000	1	JMC9	1	1	2	0
REB	1	0	20	20	100	4000	1	JMC9	1	1	2	0
RWY	0	0	1	1	100	4000	1	EJMC0	1	1	2	0
RWP	1	0	1	1	100	4000	1	EJMC0	1	1	2	0
#RWR	0	0	0	0	0	0	0	0	0	1	0	0
LHY	0	0	10	25	100	4000	1	JMC4	1	0	2	0
LHR	1	0	324	1024	160	4000	1	JMC4	1	0	2	0
LHP	0	0	16	20	160	4000	1	JMC5	1	0	1	0
LKN	0	0	16	16	160	4000	1	JMC6	1	0	1	0
LAP	0	0	10	25	100	4000	1	JMC7	1	0	2	0
LAR	1	0	324	1024	100	4000	1	JMC7	1	0	2	0
RHY	0	0	10	25	100	4000	1	JMC0	1	0	2	0
RHR	1	0	324	1024	160	4000	1	JMC0	1	0	2	0
RHP	0	0	16	20	160	4000	1	JMC1	1	0	1	0
RKN	0	0	16	16	160	4000	1	JMC2	1	0	1	0
RAP	0	0	10	25	100	4000	1	JMC3	1	0	2	0
RAR	1	0	324	1024	100	4000	1	JMC3	1	0	2	0
RF1	0	0	1	1	256	128	1	EJMC4	1	1	5	0
RF2	1	0	1	1	256	128	1	EJMC4	1	1	5	0
RF3	2	0	1	1	256	128	1	EJMC4	1	1	5	0
RF4	3	0	1	1	256	128	1	EJMC4	1	1	5	0
RF5	4	0	1	1	256	128	1	EJMC4	1	1	5	0
LF1	0	0	1	1	256	128	1	EJMC5	1	1	5	0
LF2	1	0	1	1	256	128	1	EJMC5	1	1	5	0
LF3	2	0	1	1	256	128	1	EJMC5	1	1	5	0
LF4	3	0	1	1	256	128	1	EJMC5	1	1	5	0
LF5	4	0	1	1	256	128	1	EJMC5	1	1	5	0
